Sr_No,Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,InvestmentnType,Amount_in_USD,Remarks,Year,Month
1,09-01-2020,Byjus,E-tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000,Unknown,2020,JANUARY
2,13-01-2020,Shuttl,Logistics,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394,Unknown,2020,JANUARY
3,09-01-2020,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860,Unknown,2020,JANUARY
4,02-01-2020,Https://www.wealthbucket.in/,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,3000000,Unknown,2020,JANUARY
5,02-01-2020,Fashor,Fashion & lifestyle,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,Unknown,2020,JANUARY
6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,Unknown,2020,JANUARY
7,10-01-2020,Zomato,Healthcare,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,150000000,Unknown,2020,JANUARY
8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,Unknown,2019,DECEMBER
9,06-12-2019,Cardekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000,Unknown,2019,DECEMBER
10,03-12-2019,Dhruva space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,Unknown,2019,DECEMBER
11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,Unknown,2019,DECEMBER
12,17-12-2019,Healthians,Food & beverage,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,Unknown,2019,DECEMBER
13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000,Unknown,2019,DECEMBER
14,16-12-2019,Incred,FinTech,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000,Unknown,2019,DECEMBER
15,14-12-2019,Trell,Artificial Intelligence,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000,Unknown,2019,DECEMBER
16,11-12-2019,Rein games,Artificial Intelligence,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,Unknown,2019,DECEMBER
17,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,Unknown,2019,DECEMBER
18,13-11-2019,Freshworks,SaaS,Business and customer engagement tools,San francisco,"Sequoia, CapitalG, Accel",Series H,150000000,Unknown,2019,NOVEMBER
19,14-11-2019,Misters,Healthcare,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000,Unknown,2019,NOVEMBER
20,13-11-2019,Sunstone eduversity pvt. ltd,Ed-Tech,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,Unknown,2019,NOVEMBER
21,17-11-2019,Burger singh,Food & beverage,Indian Burger Brand,Gurugram,RB Investments,VENTURE CAPITAL,6095000,Unknown,2019,NOVEMBER
22,18-11-2019,Healthians,Healthcare,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000,Unknown,2019,NOVEMBER
23,15-11-2019,Ninjacart,B2b / professional services,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000,Unknown,2019,NOVEMBER
24,20-11-2019,Aye finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,17411265,Unknown,2019,NOVEMBER
25,12-11-2019,Supergaming,Artificial Intelligence,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000,Unknown,2019,NOVEMBER
26,20-11-2019,Clumio,SaaS,Recovery software,San jose,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,Unknown,2019,NOVEMBER
27,11-11-2019,Ebikego,Logistics,Electric bike rental,Amritsar,Startup Buddy,Seed,300000,Unknown,2019,NOVEMBER
28,19-11-2019,Digital mall asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000,Unknown,2019,NOVEMBER
29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,Unknown,2019,NOVEMBER
30,15-11-2019,Vogo automotive,Logistics,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,Unknown,2019,NOVEMBER
31,19-11-2019,Furtados school of music,Ed-Tech,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,200000000,Unknown,2019,NOVEMBER
32,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000,Unknown,2019,NOVEMBER
33,04-10-2019,Dunzo,Customer service,Delivery Service,Bengaluru,Lightbox,Series D,45000000,Unknown,2019,OCTOBER
34,02-10-2019,Udaan,B2b / professional services,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000,Unknown,2019,OCTOBER
